Series_Title,Genre,IMDB_Rating,Meta_score,No_of_Votes,Runtime,Genre_Name
Call Me by Your Name,0,7.9,0.93,212651,132,Drama
"I, Daniel Blake",0,7.9,0.78,53818,100,Drama
Isle of Dogs,7,7.9,0.82,139114,101,Animation
Hunt for the Wilderpeople,6,7.9,0.81,111483,101,Adventure
Captain Fantastic,5,7.9,0.72,189400,118,Comedy
Sing Street,5,7.9,0.79,85109,106,Comedy
Thor: Ragnarok,2,7.9,0.74,587775,130,Action
Nightcrawler,1,7.9,0.76,466134,117,Crime
Jojo Rabbit,5,7.9,0.58,297918,108,Comedy
Arrival,0,7.9,0.81,594181,116,Drama
Star Wars: Episode VII - The Force Awakens,2,7.9,0.8,860823,138,Action
Before Midnight,0,7.9,0.94,141457,109,Drama
X-Men: Days of Future Past,2,7.9,0.75,659763,132,Action
Bir Zamanlar Anadolu'da,1,7.9,0.82,41995,157,Crime
The Artist,5,7.9,0.89,230624,100,Comedy
Edge of Tomorrow,2,7.9,0.71,600004,113,Action
Amour,0,7.9,0.94,93090,127,Drama
The Irishman,3,7.9,0.94,324720,209,Biography
Un prophète,1,7.9,0.9,93560,155,Crime
Moon,0,7.9,0.67,335152,97,Drama
Låt den rätte komma in,1,7.9,0.82,205609,114,Crime
District 9,2,7.9,0.81,638202,112,Action
The Wrestler,0,7.9,0.8,289415,109,Drama
Jab We Met,5,7.9,0,47720,138,Comedy
Boyhood,0,7.9,1,335533,165,Drama
"4 luni, 3 saptamâni si 2 zile",0,7.9,0.97,56625,113,Drama
Star Trek,2,7.9,0.82,577336,127,Action
In Bruges,5,7.9,0.67,390334,107,Comedy
The Man from Earth,0,7.9,0,174125,87,Drama
Letters from Iwo Jima,2,7.9,0.89,154011,141,Action
The Fall,6,7.9,0.64,107290,117,Adventure
Life of Pi,6,7.9,0.79,580708,127,Adventure
Fantastic Mr. Fox,7,7.9,0.83,199696,87,Animation
C.R.A.Z.Y.,5,7.9,0.81,31476,129,Comedy
Les choristes,0,7.9,0.56,57430,97,Drama
Iron Man,2,7.9,0.79,939644,126,Action
Shaun of the Dead,5,7.9,0.76,512249,99,Comedy
Gegen die Wand,0,7.9,0.78,51325,121,Drama
Mystic River,1,7.9,0.84,419420,138,Crime
Harry Potter and the Prisoner of Azkaban,6,7.9,0.82,552493,142,Adventure
Ying xiong,2,7.9,0.85,173999,120,Action
